Candidate,Parameters,Max_depth,Min_samples_leaf,Mean_CV_AP,SD_CV_AP,Mean_fit_AP,Mean_CV_ROC_AUC,SD_CV_ROC_AUC,Mean_fit_ROC_AUC,Fold_0_AP,Fold_1_AP,Fold_2_AP,Fold_3_AP,Fold_4_AP
0,"{""max_depth"": 2, ""min_samples_leaf"": 1}",2,1,0.43492159059756963,0.01752584985033282,0.43651172550863393,0.6950575493382867,0.011604839155337224,0.6953596531484523,0.44677437700961176,0.4268698763580804,0.43193887551482113,0.45702986706598653,0.4119949570393486
1,"{""max_depth"": 2, ""min_samples_leaf"": 20}",2,20,0.43492159059756963,0.01752584985033282,0.43651172550863393,0.6950575493382867,0.011604839155337224,0.6953596531484523,0.44677437700961176,0.4268698763580804,0.43193887551482113,0.45702986706598653,0.4119949570393486
2,"{""max_depth"": 2, ""min_samples_leaf"": 100}",2,100,0.43756645466548383,0.017995104968343185,0.4378691598478257,0.6953471308733232,0.011697183455020877,0.6953846679559006,0.44677437700961176,0.4338171422773406,0.43297536754195964,0.4613710683505178,0.41289431814798927
3,"{""max_depth"": 3, ""min_samples_leaf"": 1}",3,1,0.4710176069737454,0.019461047494581215,0.4793807652118196,0.7264323104411439,0.014652716608186662,0.7321752845601247,0.48354621140327725,0.45957808377117215,0.4797316266939551,0.48960133193517674,0.44263078106514553
4,"{""max_depth"": 3, ""min_samples_leaf"": 20}",3,20,0.4714921885342485,0.020406632248807958,0.480447725994543,0.725914997112238,0.01494273391464264,0.7323462255807696,0.4888692414002391,0.45879664974474343,0.4776316221071233,0.48960133193517674,0.4425620974839602
5,"{""max_depth"": 3, ""min_samples_leaf"": 100}",3,100,0.4782672026277936,0.016015139696048838,0.48246933803299336,0.7278775555726761,0.015043374471440536,0.732134749785285,0.48771989731256293,0.4782267131365227,0.4780907100275391,0.49479057830264156,0.4525081143597014
6,"{""max_depth"": 4, ""min_samples_leaf"": 1}",4,1,0.4936467465397606,0.018272670273370477,0.5089421131971068,0.7428062809692731,0.01032522981200015,0.750771495507991,0.5024542073109143,0.48996879897615886,0.5021910060191881,0.5100259413940299,0.46359377899851195
7,"{""max_depth"": 4, ""min_samples_leaf"": 20}",4,20,0.49611925766832243,0.01512200756124991,0.5105429537418594,0.7429611533075757,0.009932936209198318,0.7503999038412963,0.5074956634386458,0.4894438469574829,0.5016235707465111,0.5091597168213868,0.4728734903775854
8,"{""max_depth"": 4, ""min_samples_leaf"": 100}",4,100,0.5028888102804194,0.017721830328669846,0.5122935396272712,0.745828260005562,0.010928065603633923,0.7495914493886346,0.5074873662177115,0.5116659415458431,0.5063138076740086,0.5169072795278798,0.472069656436654
9,"{""max_depth"": 5, ""min_samples_leaf"": 1}",5,1,0.5082913088824171,0.011335878217651335,0.5371903780713729,0.7545722212999934,0.005900997870180562,0.7687195741780959,0.5120812453231877,0.5056518637120054,0.5150236296750207,0.518777042979258,0.4899227627226138
10,"{""max_depth"": 5, ""min_samples_leaf"": 20}",5,20,0.5163229295716542,0.012815813268544982,0.5371424492500351,0.7587730661926202,0.006080153228682167,0.7677333301999891,0.5266123703132916,0.5126773319379709,0.5166236071613619,0.5288758636862513,0.49682547475939465
11,"{""max_depth"": 5, ""min_samples_leaf"": 100}",5,100,0.5197726427689049,0.017871468977555954,0.5365054726410057,0.7594878144742726,0.006518326456499404,0.7657080219400412,0.5258029495781734,0.5295257110055163,0.5180691474959721,0.5355805394328123,0.4898848663320504
12,"{""max_depth"": 6, ""min_samples_leaf"": 1}",6,1,0.5106818714114143,0.010537938162164548,0.5621966225137862,0.7541064829097441,0.006084098969777478,0.7811684415698525,0.5130058384631874,0.5139288463264673,0.5239818947834042,0.5073003794001103,0.495192398083902
13,"{""max_depth"": 6, ""min_samples_leaf"": 20}",6,20,0.5220454385260039,0.01137066400201966,0.5576651131496908,0.7615305452644219,0.00625900268921458,0.7783589506622036,0.5296862974209,0.5202004454294934,0.5242630672511054,0.5325016672859517,0.5035757152425688
14,"{""max_depth"": 6, ""min_samples_leaf"": 100}",6,100,0.5245363614835906,0.01945509185007147,0.5528053976565717,0.7623182871616792,0.006175792593909476,0.7748762535985214,0.5271039179927539,0.5385882571237551,0.5232275500535803,0.541284252296764,0.49247782995109923
15,"{""max_depth"": 8, ""min_samples_leaf"": 1}",8,1,0.4902095106036489,0.009248105112807097,0.6211751509294837,0.7432790526198513,0.011358895367302991,0.8075236558478706,0.4924769747239393,0.4946332883310419,0.501579285347244,0.4776415843289876,0.48471642028703144
16,"{""max_depth"": 8, ""min_samples_leaf"": 20}",8,20,0.5160492476564258,0.013005835123588359,0.5996489244592726,0.7542013334500622,0.009419512049775515,0.8013309183996027,0.5353997630600932,0.5194833154350261,0.5145407623199905,0.5109681773806388,0.49985422008638003
17,"{""max_depth"": 8, ""min_samples_leaf"": 100}",8,100,0.5290290057798995,0.020915641686792812,0.5692814020993395,0.7633844907941063,0.008465781377129902,0.7904165298252656,0.5345074901137781,0.5453391908750954,0.5285009844380532,0.5431730026670718,0.49362436080549915
18,"{""max_depth"": null, ""min_samples_leaf"": 1}",Unlimited,1,0.2969954326761456,0.006714893867750662,0.9999983667208203,0.621919580670826,0.008006658643935386,0.9999997424892891,0.2925005660341759,0.3058654161735702,0.3021291337502584,0.29001447152021914,0.2944675759025044
19,"{""max_depth"": null, ""min_samples_leaf"": 20}",Unlimited,20,0.479570905641966,0.016275380361853886,0.7010625059896917,0.7275520372405235,0.010605935476021225,0.8854821928580275,0.48888235631535953,0.48942674519223983,0.4902043800921921,0.47729188952168355,0.45204915708835525
20,"{""max_depth"": null, ""min_samples_leaf"": 100}",Unlimited,100,0.5307251616775044,0.018517141435777096,0.5845055939440099,0.7615245075891018,0.005420707311418997,0.8141469176804792,0.5349732411145119,0.5438180762141427,0.5318709281134543,0.5439525912255483,0.49901097171986497
