row_id,Partition
10574,fit
11330,fit
7127,fit
25150,fit
6000,fit
20951,fit
13894,fit
15285,fit
6881,fit
22145,fit
10270,fit
28740,fit
19310,fit
4087,fit
13760,fit
27714,fit
7584,fit
29650,fit
9472,fit
7022,fit
21323,fit
23409,fit
3884,fit
9456,fit
15820,fit
13152,fit
10707,fit
1541,fit
23062,fit
11118,fit
24881,fit
11228,fit
805,fit
19323,fit
9798,fit
11088,fit
29655,fit
10403,fit
4129,fit
22244,fit
29658,fit
11922,fit
2285,fit
24670,fit
17714,fit
25077,fit
29603,fit
25212,fit
2126,fit
19234,fit
18396,fit
24131,fit
24763,fit
14383,fit
7151,fit
17094,fit
3914,fit
12478,fit
16724,fit
6464,fit
1324,fit
21209,fit
14209,fit
850,fit
7646,fit
5973,fit
14732,fit
8397,fit
15050,fit
10099,fit
2616,fit
14378,fit
17884,fit
3478,fit
23755,fit
28692,fit
19803,fit
9518,fit
22522,fit
19854,fit
21178,fit
17814,fit
4076,fit
18514,fit
21144,fit
29762,fit
13109,fit
6476,fit
21295,fit
19513,fit
10569,fit
4645,fit
20161,fit
24506,fit
7558,fit
23796,fit
20198,fit
3269,fit
27011,fit
4713,fit
18935,fit
27615,fit
26628,fit
21958,fit
8368,fit
12684,fit
19871,fit
2863,fit
24530,fit
15673,fit
24972,fit
4136,fit
6975,fit
13555,fit
27837,fit
21762,fit
809,fit
12698,fit
7957,fit
27304,fit
5717,fit
24225,fit
10190,fit
7005,fit
9153,fit
13367,fit
24371,fit
29716,fit
13463,fit
242,fit
23460,fit
16350,fit
17913,fit
20181,fit
2582,fit
16993,fit
4710,fit
8323,fit
21460,fit
25294,fit
17507,fit
15844,fit
19536,fit
12040,fit
30,fit
6620,fit
29222,fit
16829,fit
23296,fit
14655,fit
21093,fit
12202,fit
24965,fit
29412,fit
3834,fit
18083,fit
18189,fit
14348,fit
9544,fit
17446,fit
24146,fit
2532,fit
4782,fit
7429,fit
4307,fit
8424,fit
29040,fit
13883,fit
6616,fit
19163,fit
7557,fit
23128,fit
28319,fit
3880,fit
1616,fit
26947,fit
1697,fit
28804,fit
14617,fit
3947,fit
15556,fit
2480,fit
3443,fit
1135,fit
17193,fit
11115,fit
19102,fit
21876,fit
9121,fit
11085,fit
8796,fit
26066,fit
22137,fit
3273,fit
1237,fit
28208,fit
24804,fit
207,fit
21368,fit
12057,fit
29758,fit
9299,fit
27284,fit
2992,fit
27589,fit
13470,fit
2808,fit
16914,fit
16196,fit
1031,fit
23670,fit
21959,fit
14519,fit
3305,fit
16475,fit
18629,fit
28917,fit
25656,fit
10934,fit
15132,fit
7110,fit
10849,fit
22737,fit
9144,fit
8944,fit
9053,fit
15766,fit
12798,fit
6170,fit
14530,fit
7551,fit
4662,fit
13480,fit
4480,fit
23739,fit
17819,fit
8736,fit
27789,fit
23047,fit
