Leaf,Conditions,Fit_samples,Fit_defaults,Fit_default_rate,Predicted_default_at_0.5
174,PAY_0 <= 1.5 AND PAY_2 <= 1.5 AND PAY_AMT2 > 781.5 AND PAY_4 <= 1.5 AND LIMIT_BAL > 75000 AND BILL_AMT1 > 2036.5 AND PAY_6 <= 1 AND BILL_AMT1 <= 114210.5 AND LIMIT_BAL > 135000 AND BILL_AMT2 > 5548 AND PAY_AMT3 > 398 AND LIMIT_BAL > 235000 AND BILL_AMT1 <= 93703.5 AND BILL_AMT1 > 6708.5 AND PAY_AMT4 <= 2957.5 AND LIMIT_BAL <= 385000,252,0,0.0,0
181,PAY_0 <= 1.5 AND PAY_2 <= 1.5 AND PAY_AMT2 > 781.5 AND PAY_4 <= 1.5 AND LIMIT_BAL > 75000 AND BILL_AMT1 > 2036.5 AND PAY_6 <= 1 AND BILL_AMT1 <= 114210.5 AND LIMIT_BAL > 135000 AND BILL_AMT2 > 5548 AND PAY_AMT3 > 398 AND LIMIT_BAL > 235000 AND BILL_AMT1 <= 93703.5 AND BILL_AMT1 > 6708.5 AND PAY_AMT4 > 2957.5 AND PAY_AMT6 > 2025 AND LIMIT_BAL > 295000 AND PAY_AMT6 <= 10007.5,216,0,0.0,0
9,PAY_0 <= 1.5 AND PAY_2 <= 1.5 AND PAY_AMT2 <= 781.5 AND BILL_AMT1 <= 60 AND PAY_AMT3 <= 1.5 AND AGE <= 47.5 AND PAY_AMT6 <= 580 AND LIMIT_BAL <= 185000 AND MARRIAGE_1 <= 0.5,200,59,0.295,0
39,PAY_0 <= 1.5 AND PAY_2 <= 1.5 AND PAY_AMT2 <= 781.5 AND BILL_AMT1 > 60 AND BILL_AMT3 <= 760.5 AND BILL_AMT5 <= 1721.5 AND PAY_4 > -1.5 AND LIMIT_BAL > 225000,198,28,0.1414141414141414,0
225,PAY_0 <= 1.5 AND PAY_2 > 1.5 AND PAY_5 <= 1 AND LIMIT_BAL <= 245000 AND PAY_3 <= 1 AND PAY_AMT2 <= 2326.5 AND PAY_AMT2 > 1263.5,194,85,0.4381443298969072,0
139,PAY_0 <= 1.5 AND PAY_2 <= 1.5 AND PAY_AMT2 > 781.5 AND PAY_4 <= 1.5 AND LIMIT_BAL > 75000 AND BILL_AMT1 > 2036.5 AND PAY_6 <= 1 AND BILL_AMT1 <= 114210.5 AND LIMIT_BAL > 135000 AND BILL_AMT2 <= 5548 AND PAY_3 <= -1.5,193,6,0.031088082901554404,0
96,PAY_0 <= 1.5 AND PAY_2 <= 1.5 AND PAY_AMT2 > 781.5 AND PAY_4 <= 1.5 AND LIMIT_BAL <= 75000 AND EDUCATION_2 > 0.5 AND PAY_AMT2 > 3971,189,18,0.09523809523809523,0
207,PAY_0 <= 1.5 AND PAY_2 <= 1.5 AND PAY_AMT2 > 781.5 AND PAY_4 <= 1.5 AND LIMIT_BAL > 75000 AND BILL_AMT1 > 2036.5 AND PAY_6 <= 1 AND BILL_AMT1 > 114210.5 AND LIMIT_BAL <= 485000 AND BILL_AMT5 > 230225.5,189,38,0.20105820105820105,0
192,PAY_0 <= 1.5 AND PAY_2 <= 1.5 AND PAY_AMT2 > 781.5 AND PAY_4 <= 1.5 AND LIMIT_BAL > 75000 AND BILL_AMT1 > 2036.5 AND PAY_6 <= 1 AND BILL_AMT1 > 114210.5 AND LIMIT_BAL <= 485000 AND BILL_AMT5 <= 230225.5 AND PAY_AMT2 > 3712.5 AND LIMIT_BAL <= 275000 AND BILL_AMT4 <= 188883 AND PAY_AMT6 <= 4804.5 AND PAY_AMT4 <= 3799,187,17,0.09090909090909091,0
76,PAY_0 <= 1.5 AND PAY_2 <= 1.5 AND PAY_AMT2 > 781.5 AND PAY_4 <= 1.5 AND LIMIT_BAL <= 75000 AND EDUCATION_2 > 0.5 AND PAY_AMT2 <= 3971 AND BILL_AMT1 <= 7962.5,187,49,0.2620320855614973,0
