Family,Model,Evidence_status,Threshold,Cost_ratio,FP,FN,Cost,Cost_per_1000
Decision Tree,Baseline Decision Tree,Historical frozen experiment,0.5,1,881,791,1672,278.6666666666667
Decision Tree,Baseline Decision Tree,Historical frozen experiment,0.5,3,881,791,3254,542.3333333333334
Decision Tree,Baseline Decision Tree,Historical frozen experiment,0.5,5,881,791,4836,806.0
Decision Tree,Baseline Decision Tree,Historical frozen experiment,0.5,10,881,791,8791,1465.1666666666667
Decision Tree,Tuned Decision Tree,Historical frozen experiment,0.5,1,246,853,1099,183.16666666666669
Decision Tree,Tuned Decision Tree,Historical frozen experiment,0.5,3,246,853,2805,467.5
Decision Tree,Tuned Decision Tree,Historical frozen experiment,0.5,5,246,853,4511,751.8333333333334
Decision Tree,Tuned Decision Tree,Historical frozen experiment,0.5,10,246,853,8776,1462.6666666666665
RF,Baseline RF,Historical frozen experiment,0.5,1,279,822,1101,183.5
RF,Baseline RF,Historical frozen experiment,0.5,3,279,822,2745,457.5
RF,Baseline RF,Historical frozen experiment,0.5,5,279,822,4389,731.5
RF,Baseline RF,Historical frozen experiment,0.5,10,279,822,8499,1416.5
RF,Tuned RF,Historical frozen experiment,0.5,1,573,637,1210,201.66666666666666
RF,Tuned RF,Historical frozen experiment,0.5,3,573,637,2484,414.0
RF,Tuned RF,Historical frozen experiment,0.5,5,573,637,3758,626.3333333333333
RF,Tuned RF,Historical frozen experiment,0.5,10,573,637,6943,1157.1666666666667
RF,Tuned RF / cost ratio 1,Historical frozen experiment,0.706811715757006,1,237,870,1107,184.5
RF,Tuned RF / cost ratio 1,Historical frozen experiment,0.706811715757006,3,237,870,2847,474.5
RF,Tuned RF / cost ratio 1,Historical frozen experiment,0.706811715757006,5,237,870,4587,764.5
RF,Tuned RF / cost ratio 1,Historical frozen experiment,0.706811715757006,10,237,870,8937,1489.5
RF,Tuned RF / cost ratio 3,Historical frozen experiment,0.45258283874818894,1,768,550,1318,219.66666666666669
RF,Tuned RF / cost ratio 3,Historical frozen experiment,0.45258283874818894,3,768,550,2418,403.0
RF,Tuned RF / cost ratio 3,Historical frozen experiment,0.45258283874818894,5,768,550,3518,586.3333333333334
RF,Tuned RF / cost ratio 3,Historical frozen experiment,0.45258283874818894,10,768,550,6268,1044.6666666666667
RF,Tuned RF / cost ratio 5,Historical frozen experiment,0.32288101060928226,1,1884,304,2188,364.66666666666663
RF,Tuned RF / cost ratio 5,Historical frozen experiment,0.32288101060928226,3,1884,304,2796,466.0
RF,Tuned RF / cost ratio 5,Historical frozen experiment,0.32288101060928226,5,1884,304,3404,567.3333333333334
