Family,Partition,Model,Evidence_status,Policy_origin,Threshold,N,TN,FP,FN,TP,Accuracy,Precision,Recall,F1,Specificity,FPR,FNR,ROC-AUC,AP,Brier,Alert_rate,Cost_1,Cost_1_per_1000,Cost_3,Cost_3_per_1000,Cost_5,Cost_5_per_1000,Cost_10,Cost_10_per_1000
Decision Tree,validation,Baseline Decision Tree,Historical frozen experiment,Fixed policy,0.5,6000,3814,859,768,559,0.7288333333333333,0.3942172073342736,0.4212509419743783,0.40728597449908926,0.8161780440830302,0.18382195591696981,0.5787490580256217,0.6187144930287042,0.2940643699320715,0.27116666666666667,0.23633333333333334,1627,271.1666666666667,3163,527.1666666666666,4699,783.1666666666666,8539,1423.1666666666667
Decision Tree,validation,Tuned Decision Tree,Historical frozen experiment,Fixed policy,0.5,6000,4433,240,842,485,0.8196666666666667,0.6689655172413793,0.3654860587792012,0.4727095516569201,0.9486411298951423,0.05135887010485769,0.6345139412207988,0.7664236548815518,0.5317479630265723,0.13842937667094457,0.12083333333333333,1082,180.33333333333334,2766,461.0,4450,741.6666666666666,8660,1443.3333333333333
Decision Tree,test,Baseline Decision Tree,Historical frozen experiment,Fixed policy,0.5,6000,3792,881,791,536,0.7213333333333334,0.37826393789696544,0.40391861341371516,0.39067055393586003,0.8114701476567515,0.18852985234324846,0.5960813865862848,0.6075523083028722,0.284267217062282,0.27872685185185186,0.23616666666666666,1672,278.6666666666667,3254,542.3333333333334,4836,806.0,8791,1465.1666666666667
Decision Tree,test,Tuned Decision Tree,Historical frozen experiment,Fixed policy,0.5,6000,4427,246,853,474,0.8168333333333333,0.6583333333333333,0.3571966842501884,0.46311675622862725,0.9473571581425209,0.05264284185747913,0.6428033157498116,0.7538451825499175,0.5220918784014116,0.1406681510555937,0.12,1099,183.16666666666666,2805,467.5,4511,751.8333333333334,8776,1462.6666666666667
RF,validation,Baseline RF,Historical frozen experiment,Fixed policy,0.5,6000,4402,271,845,482,0.814,0.6401062416998672,0.3632253202712886,0.4634615384615385,0.9420072758399315,0.05799272416006848,0.6367746797287114,0.7719869680576146,0.5216396895442081,0.1379488754591837,0.1255,1116,186.0,2806,467.6666666666667,4496,749.3333333333334,8721,1453.5
RF,validation,Tuned RF,Historical frozen experiment,Fixed policy,0.5,6000,4095,578,624,703,0.7996666666666666,0.5487900078064013,0.5297663903541824,0.5391104294478528,0.8763107211641344,0.12368927883586561,0.4702336096458176,0.777924732679242,0.5492775666915776,0.16057988831640596,0.2135,1202,200.33333333333334,2450,408.3333333333333,3698,616.3333333333334,6818,1136.3333333333333
RF,validation,Tuned RF / cost ratio 1,Historical frozen experiment,Validation selection,0.706811715757006,6000,4471,202,863,464,0.8225,0.6966966966966966,0.3496608892238131,0.46562970396387354,0.9567729509950781,0.04322704900492189,0.6503391107761869,0.777924732679242,0.5492775666915776,0.16057988831640596,0.111,1065,177.5,2791,465.1666666666667,4517,752.8333333333334,8832,1472.0
RF,validation,Tuned RF / cost ratio 3,Historical frozen experiment,Validation selection,0.45258283874818894,6000,3911,762,550,777,0.7813333333333333,0.5048732943469786,0.5855312735493594,0.5422191207257502,0.8369355874170769,0.16306441258292317,0.41446872645064053,0.777924732679242,0.5492775666915776,0.16057988831640596,0.2565,1312,218.66666666666666,2412,402.0,3512,585.3333333333334,6262,1043.6666666666667
RF,validation,Tuned RF / cost ratio 5,Historical frozen experiment,Validation selection,0.32288101060928226,6000,2803,1870,286,1041,0.6406666666666667,0.357609069048437,0.7844762622456669,0.49126946672958943,0.5998288037663171,0.40017119623368286,0.2155237377543331,0.777924732679242,0.5492775666915776,0.16057988831640596,0.4851666666666667,2156,359.3333333333333,2728,454.6666666666667,3300,550.0,4730,788.3333333333334
RF,validation,Tuned RF / cost ratio 10,Historical frozen experiment,Validation selection,0.24897366446801708,6000,1748,2925,129,1198,0.491,0.2905651224836284,0.9027882441597589,0.43963302752293576,0.3740637705970469,0.6259362294029531,0.09721175584024115,0.777924732679242,0.5492775666915776,0.16057988831640596,0.6871666666666667,3054,509.0,3312,552.0,3570,595.0,4215,702.5
RF,test,Baseline RF,Historical frozen experiment,Fixed policy,0.5,6000,4394,279,822,505,0.8165,0.6441326530612245,0.38055764883195176,0.47844623401231645,0.9402953135031029,0.059704686496897065,0.6194423511680482,0.7534324312687276,0.531169199686173,0.14001257632001132,0.13066666666666665,1101,183.5,2745,457.5,4389,731.5,8499,1416.5
RF,test,Tuned RF,Historical frozen experiment,Fixed policy,0.5,6000,4100,573,637,690,0.7983333333333333,0.5463182897862233,0.5199698568198945,0.5328185328185329,0.8773806976246522,0.12261930237534774,0.4800301431801055,0.7752455180726039,0.5507549511360591,0.16265898764294842,0.2105,1210,201.66666666666666,2484,414.0,3758,626.3333333333334,6943,1157.1666666666667
RF,test,Tuned RF / cost ratio 1,Historical frozen experiment,Validation selection,0.706811715757006,6000,4436,237,870,457,0.8155,0.6585014409221902,0.3443858327053504,0.45225136071251854,0.9492831157714531,0.05071688422854697,0.6556141672946496,0.7752455180726039,0.5507549511360591,0.16265898764294842,0.11566666666666667,1107,184.5,2847,474.5,4587,764.5,8937,1489.5
