Candidate,Parameters,Mean_CV_AP,SD_CV_AP,Mean_fit_AP,Mean_CV_ROC_AUC,Mean_fit_seconds,Fold_0_AP,Fold_1_AP,Fold_2_AP,Fold_3_AP,Fold_4_AP
0,"{""C"": 1.0, ""class_weight"": null}",0.5110819028950637,0.014828345857693225,0.513455201109708,0.7290247472042342,0.02779555320739746,0.5085188980799789,0.5074698921064772,0.5243528804151816,0.5256806649749611,0.48938717889871997
1,"{""C"": 0.001, ""class_weight"": null}",0.5006877572243222,0.0115220167902729,0.5007036228783706,0.7204751974539929,0.014101743698120117,0.4916224685662929,0.5009490420547138,0.5113915983294264,0.5126297517524081,0.4868459254187705
2,"{""C"": 0.001, ""class_weight"": ""balanced""}",0.5031464195082267,0.012109993233761466,0.5030194479582847,0.7246306748817745,0.01645512580871582,0.4942411983456225,0.5024461767736811,0.5143069565297291,0.5161719211591657,0.48856584473293485
3,"{""C"": 0.01, ""class_weight"": null}",0.5108789773783307,0.014309804762234774,0.5119941257471445,0.728225020649206,0.02216677665710449,0.5068432194275766,0.507976873926028,0.5232434251824783,0.525868353653918,0.4904630147016521
4,"{""C"": 0.01, ""class_weight"": ""balanced""}",0.509102122697198,0.014398259724884427,0.5101442208826791,0.7290042543159461,0.028505754470825196,0.5046646202136494,0.5049596754156461,0.5214841531340662,0.5249753003214963,0.4894268644011317
5,"{""C"": 0.1, ""class_weight"": null}",0.5113319980695101,0.0149290518671588,0.5133183010029999,0.7289783145135386,0.034638595581054685,0.508402669344782,0.5079130615061237,0.5245548495241243,0.5262354042168813,0.48955400575563973
6,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.5087815463838024,0.014531219298406,0.510703289876535,0.7295289986225422,0.028736972808837892,0.5052261821269187,0.5040035896056978,0.5215606788499549,0.5243907325953144,0.48872654874112553
7,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.5085821494180198,0.014442360498641227,0.5107183368383549,0.7295736721148884,0.029397296905517577,0.5052265679536913,0.5037278653390376,0.5213133223617732,0.5240302397638799,0.4886127516717173
8,"{""C"": 10.0, ""class_weight"": null}",0.5110628575773285,0.014836953411889973,0.5134737251093566,0.7290500881790904,0.0248410701751709,0.5085627915858664,0.5072671862392888,0.5243526744569573,0.5257152735550894,0.48941636204944033
9,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.5085703954386751,0.014412217808325845,0.510715335447569,0.7295901437489462,0.02839183807373047,0.5052216044848684,0.5037264760115783,0.5213328662319283,0.523932726293858,0.4886383041711425
10,"{""C"": 100.0, ""class_weight"": null}",0.5110858563589836,0.014846486215259767,0.5134855801518321,0.7290717257443624,0.022956085205078126,0.508553833466973,0.5073584130109186,0.5244093530965813,0.5257046235887985,0.48940305863164674
11,"{""C"": 100.0, ""class_weight"": ""balanced""}",0.5085739784274798,0.014393835654461081,0.5107130214957838,0.7295835111865052,0.02890172004699707,0.5052404888061175,0.5037863898685618,0.5212677104298221,0.5239385926880951,0.48863671034480266
