Candidate,Parameters,Mean_CV_AP,SD_CV_AP,Mean_fit_AP,Mean_CV_ROC_AUC,Mean_fit_seconds,Fold_0_AP,Fold_1_AP,Fold_2_AP,Fold_3_AP,Fold_4_AP
0,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 1.0}",0.5598011588372398,0.012608227340906736,0.6401870655562174,0.7817318797068358,0.2798319339752197,0.5698322357918907,0.5720316631606086,0.5552161535294623,0.561170929020979,0.5407548126832586
1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.7}",0.5556266794039031,0.01577690673184934,0.6883669622031491,0.7817921659413237,0.8450961589813233,0.5636616282349377,0.5647877673868477,0.5636270106109761,0.558288302538362,0.5277686882483918
2,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.07, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.7}",0.5545835893590976,0.013790308616737542,0.6343191066701571,0.7810592657910966,0.3705135345458984,0.5683081862568371,0.5624449663201849,0.5505288862941169,0.5588642426007293,0.5327716653236199
3,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.7}",0.5590534516181773,0.01677753052889134,0.6638371576863316,0.7824203045434951,0.8029572486877441,0.5683043722548102,0.5712117116106004,0.563375370462331,0.5626623606189234,0.529713443144222
4,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""scale_pos_weight"": 3.0, ""subsample"": 0.7}",0.5601531896800234,0.015389161508907654,0.6279889728608042,0.7846613349301645,0.5176865577697753,0.5689206884949431,0.5718759356662151,0.5555775123909217,0.5693049650252874,0.5350868468227495
5,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""scale_pos_weight"": 3.0, ""subsample"": 0.7}",0.5540341848176931,0.012853697688511138,0.5926937905022888,0.7829454569369654,0.3247820854187012,0.5631799008786791,0.562569491962766,0.5454046481149649,0.5634537092055875,0.5355631739264677
6,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.7}",0.5533642780301057,0.017725160532288575,0.7095583316361715,0.7801707999422731,0.8617889404296875,0.5682890208373947,0.5593250545489379,0.5610509845229507,0.5553750200039778,0.5227813102372675
7,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 3.0, ""subsample"": 1.0}",0.5620187239302741,0.014002365278013245,0.6070834172981563,0.7814039245365274,0.30658750534057616,0.5694260314646313,0.570028155918701,0.5672209755803523,0.5662970812891163,0.5371213753985697
8,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""scale_pos_weight"": 3.0, ""subsample"": 1.0}",0.5593405123796396,0.012023500532744005,0.5995097601586923,0.7832526827936127,0.35825581550598146,0.5682469121569826,0.5693868214194404,0.5515060640246352,0.5655035734762894,0.5420591908208504
9,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""scale_pos_weight"": 3.0, ""subsample"": 0.7}",0.5555796271041447,0.012079142332136424,0.5779027357864396,0.7833644059380662,0.5163974285125732,0.5628231586818934,0.5667320124522809,0.5494074010702954,0.5615915720209613,0.537343991295292
